t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1705449600000,2024-01-17 23:59:59.999,XMR,1d,157.19,157.79,160.35,155.65,0.0,0,XMR,,,,,,,,,,,,,,,,,,,,,,,,,,,
1705536000000,2024-01-18 23:59:59.999,XMR,1d,157.79,153.15,163.8,151.87,0.0,0,XMR,,,,,,,,,,,,,,,,,,,,,,,,,,,
1705622400000,2024-01-19 23:59:59.999,XMR,1d,153.17,158.43,159.0,149.8,0.0,0,XMR,,,,,,,,,,,,,,,,,,,,,,,,,,,
1705708800000,2024-01-20 23:59:59.999,XMR,1d,158.43,156.72,159.6,155.93,0.0,0,XMR,,,,,,,,,,,,,,,,,,,,,,,,,,,
1705795200000,2024-01-21 23:59:59.999,XMR,1d,156.71,157.61,163.24,155.18,0.0,0,XMR,163.8,149.8,156.8,,,,,,,,,,,,,,,,,,,,,,,,
1705881600000,2024-01-22 23:59:59.999,XMR,1d,157.59,150.71,160.23,149.4,0.0,0,XMR,163.8,149.4,156.60000000000002,,,,,,,,,,,,,,,,,,,,,,,,
1705968000000,2024-01-23 23:59:59.999,XMR,1d,150.73,150.39,154.95,146.49,0.0,0,XMR,163.24,146.49,154.865,,,,,,,,,,,,,,,,,,,,,,,,
1706054400000,2024-01-24 23:59:59.999,XMR,1d,150.38,152.58,155.74,148.77,0.0,0,XMR,163.24,146.49,154.865,,,,,,,,,,,,,,,,,,,,,,,,
1706140800000,2024-01-25 23:59:59.999,XMR,1d,152.58,157.29,157.85,151.94,0.0,0,XMR,163.24,146.49,154.865,,,,,,,,,,,,,,,,,,,,,,,,
1706227200000,2024-01-26 23:59:59.999,XMR,1d,157.29,159.3,162.4,155.94,0.0,0,XMR,162.4,146.49,154.445,163.8,146.49,155.145,,,,,,,,,,,,,,,,,,,,,
1706313600000,2024-01-27 23:59:59.999,XMR,1d,159.33,160.36,162.06,157.49,0.0,0,XMR,162.4,146.49,154.445,163.8,146.49,155.145,,,,,,,,,,,,,,,,,,,,,
1706400000000,2024-01-28 23:59:59.999,XMR,1d,160.35,160.63,162.49,158.74,0.0,0,XMR,162.49,148.77,155.63,163.24,146.49,154.865,,,,,,,,,,,,,,,,,,,,,
1706486400000,2024-01-29 23:59:59.999,XMR,1d,160.63,167.96,170.26,159.71,0.0,0,XMR,170.26,151.94,161.1,170.26,146.49,158.375,,,,,,,,,,,,,,,,,,,,,
1706572800000,2024-01-30 23:59:59.999,XMR,1d,167.96,160.32,172.12,159.67,0.0,0,XMR,172.12,155.94,164.03,172.12,146.49,159.305,,,,,,,,,,,,,,,,,,,,,
1706659200000,2024-01-31 23:59:59.999,XMR,1d,160.32,163.7,167.0,158.3,0.0,0,XMR,172.12,157.49,164.805,172.12,146.49,159.305,,,,,,,,,,,,,,,,,,,,,
1706745600000,2024-02-01 23:59:59.999,XMR,1d,163.69,166.26,169.64,163.5,0.0,0,XMR,172.12,158.3,165.21,172.12,146.49,159.305,,,,,,,,,,,,,,,,,,,,,
1706832000000,2024-02-02 23:59:59.999,XMR,1d,166.26,168.98,171.37,165.32,0.0,0,XMR,172.12,158.3,165.21,172.12,148.77,160.445,,,,,,,,,,,,,,,,,,,,,
1706918400000,2024-02-03 23:59:59.999,XMR,1d,168.98,165.51,170.0,162.54,0.0,0,XMR,172.12,158.3,165.21,172.12,151.94,162.03,,,,,,,,,,,,,,,,,,,,,
1707004800000,2024-02-04 23:59:59.999,XMR,1d,165.51,165.93,167.99,165.0,0.0,0,XMR,171.37,158.3,164.835,172.12,155.94,164.03,,,,,,,,,,,,,,,,,,,,,
