t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1755820800000,2025-08-22 23:59:59.999,XPL,1d,0.404,0.57921,0.58291,0.36,374715121.0,164950,XPL,,,,,,,,,,,,,,,,,,,,,,,,,,,
1755907200000,2025-08-23 23:59:59.999,XPL,1d,0.57965,0.56103,0.5959,0.52558,23545763.0,12351,XPL,,,,,,,,,,,,,,,,,,,,,,,,,,,
1755993600000,2025-08-24 23:59:59.999,XPL,1d,0.5452,0.53895,0.56652,0.53194,5314729.0,3506,XPL,,,,,,,,,,,,,,,,,,,,,,,,,,,
1756080000000,2025-08-25 23:59:59.999,XPL,1d,0.5731,0.56869,0.579,0.53316,5299120.0,3739,XPL,,,,,,,,,,,,,,,,,,,,,,,,,,,
1756166400000,2025-08-26 23:59:59.999,XPL,1d,0.54428,0.54946,0.55948,0.53196,2106390.0,3277,XPL,0.5959,0.36,0.47795,,,,,,,,,,,,,,,,,,,,,,,,
1756252800000,2025-08-27 23:59:59.999,XPL,1d,0.60974,0.61032,0.71755,0.59899,16051368.0,10262,XPL,0.71755,0.52558,0.621565,,,,,,,,,,,,,,,,,,,,,,,,
1756339200000,2025-08-28 23:59:59.999,XPL,1d,0.67447,0.70393,0.71111,0.64191,4122946.0,3889,XPL,0.71755,0.53194,0.624745,,,,,,,,,,,,,,,,,,,,,,,,
1756425600000,2025-08-29 23:59:59.999,XPL,1d,0.98203,1.0112,1.055,0.92295,5669123.0,11724,XPL,1.055,0.53196,0.79348,,,,,,,,,,,,,,,,,,,,,,,,
1756512000000,2025-08-30 23:59:59.999,XPL,1d,0.85781,0.88,0.95463,0.85192,6485861.0,10148,XPL,1.055,0.53196,0.79348,,,,,,,,,,,,,,,,,,,,,,,,
1756598400000,2025-08-31 23:59:59.999,XPL,1d,0.86929,0.89778,0.898,0.84532,1776672.0,2909,XPL,1.055,0.59899,0.8269949999999999,1.055,0.36,0.7075,,,,,,,,,,,,,,,,,,,,,
