t,timestamp,s,i,open,close,high,low,volume,n,asset
1688601600000,2023-07-06 23:59:59.999,XRP,1d,0.47681,0.46188,0.48397,0.46116,1599870.0,3155,XRP
1688688000000,2023-07-07 23:59:59.999,XRP,1d,0.46166,0.4683,0.4704,0.45816,1500216.0,5244,XRP
1688774400000,2023-07-08 23:59:59.999,XRP,1d,0.46832,0.47019,0.47458,0.46496,1541002.0,2986,XRP
1688860800000,2023-07-09 23:59:59.999,XRP,1d,0.47019,0.46778,0.47145,0.46675,1919726.0,3347,XRP
1688947200000,2023-07-10 23:59:59.999,XRP,1d,0.46783,0.47754,0.47985,0.46201,2412397.0,3254,XRP
1689033600000,2023-07-11 23:59:59.999,XRP,1d,0.47758,0.47521,0.47787,0.47089,2086662.0,3300,XRP
1689120000000,2023-07-12 23:59:59.999,XRP,1d,0.47528,0.47073,0.47696,0.46477,1290656.0,2746,XRP
1689206400000,2023-07-13 23:59:59.999,XRP,1d,0.47084,0.82184,0.9464,0.46921,1097375.0,3153,XRP
1689292800000,2023-07-14 23:59:59.999,XRP,1d,0.81559,0.71781,0.82435,0.66863,2104509.0,3062,XRP
1689379200000,2023-07-15 23:59:59.999,XRP,1d,0.71772,0.71399,0.73553,0.69311,2110805.0,3032,XRP
1689465600000,2023-07-16 23:59:59.999,XRP,1d,0.71443,0.74628,0.78908,0.70787,1716856.0,2932,XRP
1689552000000,2023-07-17 23:59:59.999,XRP,1d,0.74614,0.73719,0.76283,0.71388,1737588.0,2901,XRP
1689638400000,2023-07-18 23:59:59.999,XRP,1d,0.73718,0.77807,0.78306,0.73128,1592035.0,2921,XRP
1689724800000,2023-07-19 23:59:59.999,XRP,1d,0.77758,0.81943,0.85085,0.77166,3041436.0,3394,XRP
1689811200000,2023-07-20 23:59:59.999,XRP,1d,0.81911,0.79419,0.84813,0.77153,1979392.0,3199,XRP
1689897600000,2023-07-21 23:59:59.999,XRP,1d,0.79419,0.77103,0.79809,0.76005,1375349.0,4513,XRP
1689984000000,2023-07-22 23:59:59.999,XRP,1d,0.77082,0.73282,0.77954,0.72143,893653.0,6058,XRP
1690070400000,2023-07-23 23:59:59.999,XRP,1d,0.7328,0.73791,0.75099,0.71511,790605.0,2731,XRP
1690156800000,2023-07-24 23:59:59.999,XRP,1d,0.73778,0.70181,0.74216,0.68176,1736821.0,2925,XRP
1690243200000,2023-07-25 23:59:59.999,XRP,1d,0.70183,0.70845,0.71484,0.67475,1596342.0,2773,XRP
1690329600000,2023-07-26 23:59:59.999,XRP,1d,0.70788,0.71637,0.7298,0.69422,2190216.0,2990,XRP
1690416000000,2023-07-27 23:59:59.999,XRP,1d,0.71557,0.7136,0.73073,0.70718,1853703.0,5560,XRP
1690502400000,2023-07-28 23:59:59.999,XRP,1d,0.71359,0.71177,0.71843,0.70343,1166624.0,2755,XRP
1690588800000,2023-07-29 23:59:59.999,XRP,1d,0.71126,0.71191,0.71514,0.70493,710414.0,3555,XRP
1690675200000,2023-07-30 23:59:59.999,XRP,1d,0.71213,0.70447,0.73693,0.68257,1560568.0,2755,XRP
1690761600000,2023-07-31 23:59:59.999,XRP,1d,0.70378,0.69735,0.72001,0.68618,1708306.0,2801,XRP
1690848000000,2023-08-01 23:59:59.999,XRP,1d,0.69713,0.7068,0.70746,0.67204,1971345.0,2908,XRP
1690934400000,2023-08-02 23:59:59.999,XRP,1d,0.70667,0.6847,0.70784,0.67733,1894417.0,2813,XRP
1691020800000,2023-08-03 23:59:59.999,XRP,1d,0.68453,0.66308,0.68718,0.65632,4206678.0,3154,XRP
1691107200000,2023-08-04 23:59:59.999,XRP,1d,0.66277,0.63534,0.66718,0.6249,2642288.0,3066,XRP
1691193600000,2023-08-05 23:59:59.999,XRP,1d,0.6354,0.62867,0.6354,0.61168,1451370.0,3776,XRP
1691280000000,2023-08-06 23:59:59.999,XRP,1d,0.62842,0.62391,0.6386,0.62162,1458971.0,2808,XRP
1691366400000,2023-08-07 23:59:59.999,XRP,1d,0.62362,0.62317,0.629,0.59629,2699320.0,3096,XRP
1691452800000,2023-08-08 23:59:59.999,XRP,1d,0.62267,0.64146,0.64641,0.61471,2193001.0,2947,XRP
1691539200000,2023-08-09 23:59:59.999,XRP,1d,0.64088,0.64306,0.66497,0.63229,2551325.0,2928,XRP
1691625600000,2023-08-10 23:59:59.999,XRP,1d,0.64188,0.63307,0.64452,0.62472,2299737.0,3022,XRP
1691712000000,2023-08-11 23:59:59.999,XRP,1d,0.63282,0.63131,0.6406,0.62659,1369607.0,3587,XRP
1691798400000,2023-08-12 23:59:59.999,XRP,1d,0.63144,0.62737,0.633,0.62428,1038898.0,2640,XRP
1691884800000,2023-08-13 23:59:59.999,XRP,1d,0.6271,0.62583,0.63821,0.62372,856963.0,2634,XRP
1691971200000,2023-08-14 23:59:59.999,XRP,1d,0.62522,0.63384,0.63654,0.62413,1387884.0,2772,XRP
1692057600000,2023-08-15 23:59:59.999,XRP,1d,0.63369,0.60996,0.63403,0.5741,1168715.0,2761,XRP
1692144000000,2023-08-16 23:59:59.999,XRP,1d,0.60994,0.58848,0.6155,0.57393,3826588.0,3325,XRP
1692230400000,2023-08-17 23:59:59.999,XRP,1d,0.58838,0.50595,0.59418,0.41523,5359572.0,3742,XRP
1692316800000,2023-08-18 23:59:59.999,XRP,1d,0.50591,0.50576,0.52137,0.48507,10810660.0,4328,XRP
1692403200000,2023-08-19 23:59:59.999,XRP,1d,0.5053,0.5197,0.52376,0.50097,4709205.0,3260,XRP
1692489600000,2023-08-20 23:59:59.999,XRP,1d,0.51932,0.53832,0.55374,0.5161,3810437.0,3022,XRP
1692576000000,2023-08-21 23:59:59.999,XRP,1d,0.53845,0.524,0.53933,0.50206,2699970.0,2423,XRP
1692662400000,2023-08-22 23:59:59.999,XRP,1d,0.5241,0.52033,0.52497,0.5034,1507539.0,2308,XRP
1692748800000,2023-08-23 23:59:59.999,XRP,1d,0.52078,0.52981,0.53584,0.51569,1601241.0,2381,XRP
1692835200000,2023-08-24 23:59:59.999,XRP,1d,0.52977,0.51829,0.5316,0.51198,1102777.0,2382,XRP
1692921600000,2023-08-25 23:59:59.999,XRP,1d,0.51756,0.52521,0.5312,0.50778,1552425.0,2402,XRP
