t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1691193600000,2023-08-05 23:59:59.999,YGG,1d,0.255,0.4591,0.6035,0.2549,0.0,0,YGG,,,,,,,,,,,,,,,,,,,,,,,,,,,
1691280000000,2023-08-06 23:59:59.999,YGG,1d,0.55483,0.53959,0.57603,0.51256,2109378.0,1836,YGG,,,,,,,,,,,,,,,,,,,,,,,,,,,
1691366400000,2023-08-07 23:59:59.999,YGG,1d,0.53943,0.37987,0.75487,0.32593,16124552.0,9376,YGG,,,,,,,,,,,,,,,,,,,,,,,,,,,
1691452800000,2023-08-08 23:59:59.999,YGG,1d,0.37777,0.33855,0.39017,0.3348,6700861.0,4194,YGG,,,,,,,,,,,,,,,,,,,,,,,,,,,
1691539200000,2023-08-09 23:59:59.999,YGG,1d,0.33894,0.33401,0.367,0.31821,6571529.0,3415,YGG,0.75487,0.2549,0.504885,,,,,,,,,,,,,,,,,,,,,,,,
1691625600000,2023-08-10 23:59:59.999,YGG,1d,0.33423,0.32762,0.33968,0.31493,4857027.0,3077,YGG,0.75487,0.31493,0.5349,,,,,,,,,,,,,,,,,,,,,,,,
1691712000000,2023-08-11 23:59:59.999,YGG,1d,0.32601,0.34192,0.35273,0.31694,6628696.0,3513,YGG,0.75487,0.31493,0.5349,,,,,,,,,,,,,,,,,,,,,,,,
1691798400000,2023-08-12 23:59:59.999,YGG,1d,0.34278,0.33336,0.34457,0.31877,6654952.0,3424,YGG,0.39017,0.31493,0.35255000000000003,,,,,,,,,,,,,,,,,,,,,,,,
1691884800000,2023-08-13 23:59:59.999,YGG,1d,0.33336,0.32339,0.33386,0.31994,4636430.0,3049,YGG,0.367,0.31493,0.34096499999999996,,,,,,,,,,,,,,,,,,,,,,,,
1691971200000,2023-08-14 23:59:59.999,YGG,1d,0.32304,0.32737,0.34494,0.32304,5211632.0,3490,YGG,0.35273,0.31493,0.33382999999999996,0.75487,0.2549,0.504885,,,,,,,,,,,,,,,,,,,,,
1692057600000,2023-08-15 23:59:59.999,YGG,1d,0.32771,0.28572,0.33889,0.26659,6969989.0,3311,YGG,0.35273,0.26659,0.30966,0.75487,0.26659,0.51073,,,,,,,,,,,,,,,,,,,,,
1692144000000,2023-08-16 23:59:59.999,YGG,1d,0.2857,0.26164,0.28612,0.24467,21835102.0,4988,YGG,0.34494,0.24467,0.294805,0.75487,0.24467,0.49977000000000005,,,,,,,,,,,,,,,,,,,,,
1692230400000,2023-08-17 23:59:59.999,YGG,1d,0.26201,0.20841,0.26786,0.18178,36818932.0,6479,YGG,0.34494,0.18178,0.26336000000000004,0.39017,0.18178,0.285975,,,,,,,,,,,,,,,,,,,,,
1692316800000,2023-08-18 23:59:59.999,YGG,1d,0.20878,0.26983,0.28212,0.20725,75542043.0,9306,YGG,0.34494,0.18178,0.26336000000000004,0.367,0.18178,0.27439,,,,,,,,,,,,,,,,,,,,,
1692403200000,2023-08-19 23:59:59.999,YGG,1d,0.26889,0.24828,0.27582,0.2368,34211145.0,7371,YGG,0.33889,0.18178,0.260335,0.35273,0.18178,0.267255,,,,,,,,,,,,,,,,,,,,,
1692489600000,2023-08-20 23:59:59.999,YGG,1d,0.24851,0.23462,0.25112,0.23249,26418854.0,4405,YGG,0.28612,0.18178,0.23395,0.35273,0.18178,0.267255,,,,,,,,,,,,,,,,,,,,,
1692576000000,2023-08-21 23:59:59.999,YGG,1d,0.23468,0.22581,0.23871,0.22321,9946059.0,2814,YGG,0.28212,0.18178,0.23195,0.34494,0.18178,0.26336000000000004,,,,,,,,,,,,,,,,,,,,,
1692662400000,2023-08-22 23:59:59.999,YGG,1d,0.22597,0.22231,0.23259,0.2077,8222229.0,2746,YGG,0.28212,0.20725,0.24468499999999999,0.34494,0.18178,0.26336000000000004,,,,,,,,,,,,,,,,,,,,,
