t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1696377600000,2023-10-04 23:59:59.999,ZEC,1d,26.9,27.1,27.25,25.9,0.0,0,ZEC,,,,,,,,,,,,,,,,,,,,,,,,,,,
1696464000000,2023-10-05 23:59:59.999,ZEC,1d,27.11,27.1,27.34,26.77,0.0,0,ZEC,,,,,,,,,,,,,,,,,,,,,,,,,,,
1696550400000,2023-10-06 23:59:59.999,ZEC,1d,27.11,26.7,27.51,26.63,0.0,0,ZEC,,,,,,,,,,,,,,,,,,,,,,,,,,,
1696636800000,2023-10-07 23:59:59.999,ZEC,1d,26.69,26.98,27.22,26.53,0.0,0,ZEC,,,,,,,,,,,,,,,,,,,,,,,,,,,
1696723200000,2023-10-08 23:59:59.999,ZEC,1d,26.98,26.18,27.12,26.02,0.0,0,ZEC,27.51,25.9,26.705,,,,,,,,,,,,,,,,,,,,,,,,
1696809600000,2023-10-09 23:59:59.999,ZEC,1d,26.17,25.56,26.41,24.72,0.0,0,ZEC,27.51,24.72,26.115000000000002,,,,,,,,,,,,,,,,,,,,,,,,
1696896000000,2023-10-10 23:59:59.999,ZEC,1d,25.57,25.46,25.83,25.08,0.0,0,ZEC,27.51,24.72,26.115000000000002,,,,,,,,,,,,,,,,,,,,,,,,
1696982400000,2023-10-11 23:59:59.999,ZEC,1d,25.46,25.09,25.59,24.63,0.0,0,ZEC,27.22,24.63,25.924999999999997,,,,,,,,,,,,,,,,,,,,,,,,
1697068800000,2023-10-12 23:59:59.999,ZEC,1d,25.09,24.49,25.27,24.47,0.0,0,ZEC,27.12,24.47,25.795,,,,,,,,,,,,,,,,,,,,,,,,
1697155200000,2023-10-13 23:59:59.999,ZEC,1d,24.49,24.96,25.24,24.36,0.0,0,ZEC,26.41,24.36,25.384999999999998,27.51,24.36,25.935000000000002,,,,,,,,,,,,,,,,,,,,,
1697241600000,2023-10-14 23:59:59.999,ZEC,1d,24.96,24.93,25.25,24.89,0.0,0,ZEC,25.83,24.36,25.095,27.51,24.36,25.935000000000002,,,,,,,,,,,,,,,,,,,,,
1697328000000,2023-10-15 23:59:59.999,ZEC,1d,24.92,25.13,25.29,24.81,0.0,0,ZEC,25.59,24.36,24.975,27.51,24.36,25.935000000000002,,,,,,,,,,,,,,,,,,,,,
1697414400000,2023-10-16 23:59:59.999,ZEC,1d,25.13,25.58,26.28,25.12,0.0,0,ZEC,26.28,24.36,25.32,27.22,24.36,25.79,,,,,,,,,,,,,,,,,,,,,
1697500800000,2023-10-17 23:59:59.999,ZEC,1d,25.59,24.57,25.66,24.36,0.0,0,ZEC,26.28,24.36,25.32,27.12,24.36,25.740000000000002,,,,,,,,,,,,,,,,,,,,,
1697587200000,2023-10-18 23:59:59.999,ZEC,1d,24.57,24.73,25.07,24.43,0.0,0,ZEC,26.28,24.36,25.32,26.41,24.36,25.384999999999998,,,,,,,,,,,,,,,,,,,,,
1697673600000,2023-10-19 23:59:59.999,ZEC,1d,24.74,24.98,25.13,24.31,0.0,0,ZEC,26.28,24.31,25.295,26.28,24.31,25.295,,,,,,,,,,,,,,,,,,,,,
1697760000000,2023-10-20 23:59:59.999,ZEC,1d,24.98,25.24,25.77,24.91,0.0,0,ZEC,26.28,24.31,25.295,26.28,24.31,25.295,,,,,,,,,,,,,,,,,,,,,
1697846400000,2023-10-21 23:59:59.999,ZEC,1d,25.25,25.63,25.94,25.21,0.0,0,ZEC,25.94,24.31,25.125,26.28,24.31,25.295,,,,,,,,,,,,,,,,,,,,,
1697932800000,2023-10-22 23:59:59.999,ZEC,1d,25.64,25.87,25.98,25.0,0.0,0,ZEC,25.98,24.31,25.145,26.28,24.31,25.295,,,,,,,,,,,,,,,,,,,,,
1698019200000,2023-10-23 23:59:59.999,ZEC,1d,25.87,27.28,27.67,25.73,0.0,0,ZEC,27.67,24.31,25.990000000000002,27.67,24.31,25.990000000000002,27.67,24.31,25.990000000000002,,,,,,,,,,,,,,,,,,
1698105600000,2023-10-24 23:59:59.999,ZEC,1d,27.28,27.49,28.18,26.62,0.0,0,ZEC,28.18,24.91,26.545,28.18,24.31,26.244999999999997,28.18,24.31,26.244999999999997,,,,,,,,,,,,,,,,,,
1698192000000,2023-10-25 23:59:59.999,ZEC,1d,27.5,27.41,27.95,26.88,0.0,0,ZEC,28.18,25.0,26.59,28.18,24.31,26.244999999999997,28.18,24.31,26.244999999999997,,,,,,,,,,,,,,,,,,
1698278400000,2023-10-26 23:59:59.999,ZEC,1d,27.41,27.8,28.91,26.88,0.0,0,ZEC,28.91,25.0,26.955,28.91,24.31,26.61,28.91,24.31,26.61,,,,,,,,,,,,,,,,,,
1698364800000,2023-10-27 23:59:59.999,ZEC,1d,27.8,27.3,27.92,26.2,0.0,0,ZEC,28.91,25.73,27.32,28.91,24.31,26.61,28.91,24.31,26.61,,,,,,,,,,,,,,,,,,
1698451200000,2023-10-28 23:59:59.999,ZEC,1d,27.3,27.86,28.09,27.23,0.0,0,ZEC,28.91,26.2,27.555,28.91,24.31,26.61,28.91,24.31,26.61,,,,,,,,,,,,,,,,,,
1698537600000,2023-10-29 23:59:59.999,ZEC,1d,27.86,28.23,28.39,27.49,0.0,0,ZEC,28.91,26.2,27.555,28.91,24.91,26.91,28.91,24.31,26.61,,,,,,,,,,,,,,,,,,
1698624000000,2023-10-30 23:59:59.999,ZEC,1d,28.23,28.5,28.73,27.83,0.0,0,ZEC,28.91,26.2,27.555,28.91,25.0,26.955,28.91,24.31,26.61,,,,,,,,,,,,,,,,,,
1698710400000,2023-10-31 23:59:59.999,ZEC,1d,28.5,28.32,28.95,27.4,0.0,0,ZEC,28.95,26.2,27.575,28.95,25.0,26.975,28.95,24.31,26.63,,,,,,,,,,,,,,,,,,
1698796800000,2023-11-01 23:59:59.999,ZEC,1d,28.32,28.69,29.03,27.34,0.0,0,ZEC,29.03,27.23,28.130000000000003,29.03,25.73,27.380000000000003,29.03,24.31,26.67,,,,,,,,,,,,,,,,,,
1698883200000,2023-11-02 23:59:59.999,ZEC,1d,28.69,27.53,29.33,27.1,0.0,0,ZEC,29.33,27.1,28.215,29.33,26.2,27.765,29.33,24.31,26.82,29.33,24.31,26.82,,,,,,,,,,,,,,,
1698969600000,2023-11-03 23:59:59.999,ZEC,1d,27.54,27.68,27.72,26.58,0.0,0,ZEC,29.33,26.58,27.955,29.33,26.2,27.765,29.33,24.31,26.82,29.33,24.31,26.82,,,,,,,,,,,,,,,
1699056000000,2023-11-04 23:59:59.999,ZEC,1d,27.67,28.21,28.31,27.49,0.0,0,ZEC,29.33,26.58,27.955,29.33,26.2,27.765,29.33,24.31,26.82,29.33,24.31,26.82,,,,,,,,,,,,,,,
1699142400000,2023-11-05 23:59:59.999,ZEC,1d,28.21,28.65,28.94,27.97,0.0,0,ZEC,29.33,26.58,27.955,29.33,26.2,27.765,29.33,24.31,26.82,29.33,24.31,26.82,,,,,,,,,,,,,,,
1699228800000,2023-11-06 23:59:59.999,ZEC,1d,28.66,29.84,29.91,28.21,0.0,0,ZEC,29.91,26.58,28.244999999999997,29.91,26.58,28.244999999999997,29.91,24.31,27.11,29.91,24.31,27.11,,,,,,,,,,,,,,,
1699315200000,2023-11-07 23:59:59.999,ZEC,1d,29.85,29.25,30.27,28.29,0.0,0,ZEC,30.27,26.58,28.424999999999997,30.27,26.58,28.424999999999997,30.27,24.31,27.29,30.27,24.31,27.29,,,,,,,,,,,,,,,
1699401600000,2023-11-08 23:59:59.999,ZEC,1d,29.26,30.09,30.39,28.97,0.0,0,ZEC,30.39,27.49,28.939999999999998,30.39,26.58,28.485,30.39,24.91,27.65,30.39,24.31,27.35,,,,,,,,,,,,,,,
1699488000000,2023-11-09 23:59:59.999,ZEC,1d,30.08,29.52,31.06,25.12,0.0,0,ZEC,31.06,25.12,28.09,31.06,25.12,28.09,31.06,25.0,28.03,31.06,24.31,27.685,,,,,,,,,,,,,,,
1699574400000,2023-11-10 23:59:59.999,ZEC,1d,29.53,30.41,30.66,28.82,0.0,0,ZEC,31.06,25.12,28.09,31.06,25.12,28.09,31.06,25.0,28.03,31.06,24.31,27.685,,,,,,,,,,,,,,,
1699660800000,2023-11-11 23:59:59.999,ZEC,1d,30.41,30.46,30.83,29.02,0.0,0,ZEC,31.06,25.12,28.09,31.06,25.12,28.09,31.06,25.12,28.09,31.06,24.31,27.685,,,,,,,,,,,,,,,
1699747200000,2023-11-12 23:59:59.999,ZEC,1d,30.47,31.25,31.68,29.23,0.0,0,ZEC,31.68,25.12,28.4,31.68,25.12,28.4,31.68,25.12,28.4,31.68,24.31,27.994999999999997,,,,,,,,,,,,,,,
1699833600000,2023-11-13 23:59:59.999,ZEC,1d,31.24,29.62,31.84,29.51,0.0,0,ZEC,31.84,25.12,28.48,31.84,25.12,28.48,31.84,25.12,28.48,31.84,24.31,28.075,,,,,,,,,,,,,,,
1699920000000,2023-11-14 23:59:59.999,ZEC,1d,29.63,29.42,30.53,27.73,0.0,0,ZEC,31.84,27.73,29.785,31.84,25.12,28.48,31.84,25.12,28.48,31.84,24.31,28.075,,,,,,,,,,,,,,,
1700006400000,2023-11-15 23:59:59.999,ZEC,1d,29.43,30.38,30.64,29.26,0.0,0,ZEC,31.84,27.73,29.785,31.84,25.12,28.48,31.84,25.12,28.48,31.84,24.31,28.075,,,,,,,,,,,,,,,
1700092800000,2023-11-16 23:59:59.999,ZEC,1d,30.39,29.53,31.04,28.88,0.0,0,ZEC,31.84,27.73,29.785,31.84,25.12,28.48,31.84,25.12,28.48,31.84,24.31,28.075,,,,,,,,,,,,,,,
1700179200000,2023-11-17 23:59:59.999,ZEC,1d,29.53,29.36,30.4,28.18,0.0,0,ZEC,31.84,27.73,29.785,31.84,25.12,28.48,31.84,25.12,28.48,31.84,24.31,28.075,,,,,,,,,,,,,,,
1700265600000,2023-11-18 23:59:59.999,ZEC,1d,29.35,28.9,29.36,27.66,0.0,0,ZEC,31.04,27.66,29.35,31.84,25.12,28.48,31.84,25.12,28.48,31.84,24.91,28.375,,,,,,,,,,,,,,,
1700352000000,2023-11-19 23:59:59.999,ZEC,1d,28.91,29.26,29.38,28.17,0.0,0,ZEC,31.04,27.66,29.35,31.84,27.66,29.75,31.84,25.12,28.48,31.84,25.0,28.42,,,,,,,,,,,,,,,
1700438400000,2023-11-20 23:59:59.999,ZEC,1d,29.25,28.97,29.68,28.36,0.0,0,ZEC,31.04,27.66,29.35,31.84,27.66,29.75,31.84,25.12,28.48,31.84,25.0,28.42,,,,,,,,,,,,,,,
1700524800000,2023-11-21 23:59:59.999,ZEC,1d,28.97,26.81,29.38,26.4,0.0,0,ZEC,30.4,26.4,28.4,31.84,26.4,29.119999999999997,31.84,25.12,28.48,31.84,25.12,28.48,,,,,,,,,,,,,,,
1700611200000,2023-11-22 23:59:59.999,ZEC,1d,26.8,28.52,28.75,26.73,0.0,0,ZEC,29.68,26.4,28.04,31.84,26.4,29.119999999999997,31.84,25.12,28.48,31.84,25.12,28.48,,,,,,,,,,,,,,,
1700697600000,2023-11-23 23:59:59.999,ZEC,1d,28.52,28.84,28.93,28.14,0.0,0,ZEC,29.68,26.4,28.04,31.04,26.4,28.72,31.84,25.12,28.48,31.84,25.12,28.48,,,,,,,,,,,,,,,
1700784000000,2023-11-24 23:59:59.999,ZEC,1d,28.84,29.64,30.29,28.75,0.0,0,ZEC,30.29,26.4,28.345,31.04,26.4,28.72,31.84,25.12,28.48,31.84,25.12,28.48,,,,,,,,,,,,,,,
1700870400000,2023-11-25 23:59:59.999,ZEC,1d,29.65,30.17,30.33,29.47,0.0,0,ZEC,30.33,26.4,28.365,31.04,26.4,28.72,31.84,25.12,28.48,31.84,25.12,28.48,,,,,,,,,,,,,,,
1700956800000,2023-11-26 23:59:59.999,ZEC,1d,30.16,29.57,30.26,28.73,0.0,0,ZEC,30.33,26.73,28.53,30.4,26.4,28.4,31.84,25.12,28.48,31.84,25.12,28.48,,,,,,,,,,,,,,,
1701043200000,2023-11-27 23:59:59.999,ZEC,1d,29.57,28.81,29.78,28.29,0.0,0,ZEC,30.33,28.14,29.235,30.33,26.4,28.365,31.84,25.12,28.48,31.84,25.12,28.48,,,,,,,,,,,,,,,
1701129600000,2023-11-28 23:59:59.999,ZEC,1d,28.8,29.04,29.51,28.11,0.0,0,ZEC,30.33,28.11,29.22,30.33,26.4,28.365,31.84,25.12,28.48,31.84,25.12,28.48,,,,,,,,,,,,,,,
1701216000000,2023-11-29 23:59:59.999,ZEC,1d,29.04,29.08,29.36,28.7,0.0,0,ZEC,30.33,28.11,29.22,30.33,26.4,28.365,31.84,26.4,29.119999999999997,31.84,25.12,28.48,,,,,,,,,,,,,,,
1701302400000,2023-11-30 23:59:59.999,ZEC,1d,29.09,29.57,29.91,28.93,0.0,0,ZEC,30.26,28.11,29.185000000000002,30.33,26.4,28.365,31.84,26.4,29.119999999999997,31.84,25.12,28.48,,,,,,,,,,,,,,,
1701388800000,2023-12-01 23:59:59.999,ZEC,1d,29.56,29.8,29.93,29.25,0.0,0,ZEC,29.93,28.11,29.02,30.33,26.73,28.53,31.84,26.4,29.119999999999997,31.84,25.12,28.48,,,,,,,,,,,,,,,
1701475200000,2023-12-02 23:59:59.999,ZEC,1d,29.8,31.43,31.77,29.76,0.0,0,ZEC,31.77,28.11,29.939999999999998,31.77,28.11,29.939999999999998,31.84,26.4,29.119999999999997,31.84,25.12,28.48,31.84,24.31,28.075,,,,,,,,,,,,
1701561600000,2023-12-03 23:59:59.999,ZEC,1d,31.43,30.85,32.07,30.48,0.0,0,ZEC,32.07,28.7,30.384999999999998,32.07,28.11,30.09,32.07,26.4,29.235,32.07,25.12,28.595,32.07,24.31,28.189999999999998,,,,,,,,,,,,
1701648000000,2023-12-04 23:59:59.999,ZEC,1d,30.86,31.76,31.92,29.88,0.0,0,ZEC,32.07,28.93,30.5,32.07,28.11,30.09,32.07,26.4,29.235,32.07,25.12,28.595,32.07,24.31,28.189999999999998,,,,,,,,,,,,
1701734400000,2023-12-05 23:59:59.999,ZEC,1d,31.76,31.77,32.15,30.4,0.0,0,ZEC,32.15,29.25,30.7,32.15,28.11,30.13,32.15,26.4,29.275,32.15,25.12,28.634999999999998,32.15,24.31,28.229999999999997,,,,,,,,,,,,
1701820800000,2023-12-06 23:59:59.999,ZEC,1d,31.77,31.23,32.0,30.47,0.0,0,ZEC,32.15,29.76,30.955,32.15,28.11,30.13,32.15,26.4,29.275,32.15,25.12,28.634999999999998,32.15,24.31,28.229999999999997,,,,,,,,,,,,
1701907200000,2023-12-07 23:59:59.999,ZEC,1d,31.22,32.05,32.47,30.76,0.0,0,ZEC,32.47,29.88,31.174999999999997,32.47,28.11,30.29,32.47,26.4,29.435,32.47,25.12,28.795,32.47,24.31,28.39,,,,,,,,,,,,
1701993600000,2023-12-08 23:59:59.999,ZEC,1d,32.05,33.47,33.85,31.78,0.0,0,ZEC,33.85,29.88,31.865000000000002,33.85,28.7,31.275,33.85,26.4,30.125,33.85,25.12,29.485,33.85,24.31,29.08,,,,,,,,,,,,
1702080000000,2023-12-09 23:59:59.999,ZEC,1d,33.47,33.52,34.84,33.06,0.0,0,ZEC,34.84,30.4,32.620000000000005,34.84,28.93,31.885,34.84,26.4,30.62,34.84,26.4,30.62,34.84,24.31,29.575000000000003,,,,,,,,,,,,
1702166400000,2023-12-10 23:59:59.999,ZEC,1d,33.51,33.7,34.28,32.93,0.0,0,ZEC,34.84,30.47,32.655,34.84,29.25,32.045,34.84,26.4,30.62,34.84,26.4,30.62,34.84,24.31,29.575000000000003,,,,,,,,,,,,
1702252800000,2023-12-11 23:59:59.999,ZEC,1d,33.69,30.41,33.78,28.88,0.0,0,ZEC,34.84,28.88,31.86,34.84,28.88,31.86,34.84,26.73,30.785000000000004,34.84,26.4,30.62,34.84,24.31,29.575000000000003,,,,,,,,,,,,
1702339200000,2023-12-12 23:59:59.999,ZEC,1d,30.4,31.01,31.25,30.18,0.0,0,ZEC,34.84,28.88,31.86,34.84,28.88,31.86,34.84,28.11,31.475,34.84,26.4,30.62,34.84,24.31,29.575000000000003,,,,,,,,,,,,
1702425600000,2023-12-13 23:59:59.999,ZEC,1d,31.02,30.7,31.18,29.41,0.0,0,ZEC,34.84,28.88,31.86,34.84,28.88,31.86,34.84,28.11,31.475,34.84,26.4,30.62,34.84,24.31,29.575000000000003,,,,,,,,,,,,
1702512000000,2023-12-14 23:59:59.999,ZEC,1d,30.71,30.65,31.11,29.46,0.0,0,ZEC,34.28,28.88,31.58,34.84,28.88,31.86,34.84,28.11,31.475,34.84,26.4,30.62,34.84,24.31,29.575000000000003,,,,,,,,,,,,
1702598400000,2023-12-15 23:59:59.999,ZEC,1d,30.66,29.54,30.72,29.31,0.0,0,ZEC,33.78,28.88,31.33,34.84,28.88,31.86,34.84,28.11,31.475,34.84,26.4,30.62,34.84,24.31,29.575000000000003,,,,,,,,,,,,
1702684800000,2023-12-16 23:59:59.999,ZEC,1d,29.54,30.01,30.48,29.24,0.0,0,ZEC,31.25,29.24,30.244999999999997,34.84,28.88,31.86,34.84,28.11,31.475,34.84,26.4,30.62,34.84,24.31,29.575000000000003,,,,,,,,,,,,
1702771200000,2023-12-17 23:59:59.999,ZEC,1d,30.01,29.79,30.48,29.51,0.0,0,ZEC,31.18,29.24,30.21,34.84,28.88,31.86,34.84,28.11,31.475,34.84,26.4,30.62,34.84,24.31,29.575000000000003,,,,,,,,,,,,
1702857600000,2023-12-18 23:59:59.999,ZEC,1d,29.8,28.96,29.95,27.4,0.0,0,ZEC,31.11,27.4,29.255,34.84,27.4,31.12,34.84,27.4,31.12,34.84,26.4,30.62,34.84,24.91,29.875,,,,,,,,,,,,
1702944000000,2023-12-19 23:59:59.999,ZEC,1d,28.96,27.91,29.65,27.47,0.0,0,ZEC,30.72,27.4,29.06,34.28,27.4,30.84,34.84,27.4,31.12,34.84,26.4,30.62,34.84,25.0,29.92,,,,,,,,,,,,
1703030400000,2023-12-20 23:59:59.999,ZEC,1d,27.91,29.18,30.25,27.64,0.0,0,ZEC,30.48,27.4,28.939999999999998,33.78,27.4,30.59,34.84,27.4,31.12,34.84,26.4,30.62,34.84,25.0,29.92,,,,,,,,,,,,
1703116800000,2023-12-21 23:59:59.999,ZEC,1d,29.19,30.03,30.46,28.95,0.0,0,ZEC,30.48,27.4,28.939999999999998,31.25,27.4,29.325,34.84,27.4,31.12,34.84,26.73,30.785000000000004,34.84,25.12,29.980000000000004,,,,,,,,,,,,
1703203200000,2023-12-22 23:59:59.999,ZEC,1d,30.04,30.43,30.54,29.62,0.0,0,ZEC,30.54,27.4,28.97,31.18,27.4,29.29,34.84,27.4,31.12,34.84,27.4,31.12,34.84,25.12,29.980000000000004,,,,,,,,,,,,
1703289600000,2023-12-23 23:59:59.999,ZEC,1d,30.44,30.41,30.55,29.65,0.0,0,ZEC,30.55,27.47,29.009999999999998,31.11,27.4,29.255,34.84,27.4,31.12,34.84,27.4,31.12,34.84,25.12,29.980000000000004,,,,,,,,,,,,
1703376000000,2023-12-24 23:59:59.999,ZEC,1d,30.42,30.18,31.12,29.44,0.0,0,ZEC,31.12,27.64,29.380000000000003,31.12,27.4,29.259999999999998,34.84,27.4,31.12,34.84,27.4,31.12,34.84,25.12,29.980000000000004,,,,,,,,,,,,
1703462400000,2023-12-25 23:59:59.999,ZEC,1d,30.17,31.3,31.73,29.98,0.0,0,ZEC,31.73,28.95,30.34,31.73,27.4,29.564999999999998,34.84,27.4,31.12,34.84,27.4,31.12,34.84,25.12,29.980000000000004,,,,,,,,,,,,
1703548800000,2023-12-26 23:59:59.999,ZEC,1d,31.3,30.44,31.84,29.21,0.0,0,ZEC,31.84,29.21,30.525,31.84,27.4,29.619999999999997,34.84,27.4,31.12,34.84,27.4,31.12,34.84,25.12,29.980000000000004,,,,,,,,,,,,
1703635200000,2023-12-27 23:59:59.999,ZEC,1d,30.43,31.87,32.34,29.26,0.0,0,ZEC,32.34,29.21,30.775000000000002,32.34,27.4,29.87,34.84,27.4,31.12,34.84,27.4,31.12,34.84,25.12,29.980000000000004,,,,,,,,,,,,
