t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1688774400000,2023-07-08 23:59:59.999,ZEN,1d,8.181,8.075,8.379,7.724,0.0,0,ZEN,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688860800000,2023-07-09 23:59:59.999,ZEN,1d,8.078,7.894,8.143,7.822,0.0,0,ZEN,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688947200000,2023-07-10 23:59:59.999,ZEN,1d,7.894,8.14,8.381,7.624,0.0,0,ZEN,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689033600000,2023-07-11 23:59:59.999,ZEN,1d,8.138,8.05,8.189,7.931,0.0,0,ZEN,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689120000000,2023-07-12 23:59:59.999,ZEN,1d,8.051,8.156,8.323,7.962,0.0,0,ZEN,8.381,7.624,8.0025,,,,,,,,,,,,,,,,,,,,,,,,
1689206400000,2023-07-13 23:59:59.999,ZEN,1d,8.155,8.768,8.785,7.979,0.0,0,ZEN,8.785,7.624,8.2045,,,,,,,,,,,,,,,,,,,,,,,,
1689292800000,2023-07-14 23:59:59.999,ZEN,1d,8.77,8.559,8.949,8.036,0.0,0,ZEN,8.949,7.624,8.2865,,,,,,,,,,,,,,,,,,,,,,,,
1689379200000,2023-07-15 23:59:59.999,ZEN,1d,8.56,8.349,8.604,8.293,0.0,0,ZEN,8.949,7.931,8.44,,,,,,,,,,,,,,,,,,,,,,,,
1689465600000,2023-07-16 23:59:59.999,ZEN,1d,8.349,7.999,8.389,7.919,0.0,0,ZEN,8.949,7.919,8.434,,,,,,,,,,,,,,,,,,,,,,,,
1689552000000,2023-07-17 23:59:59.999,ZEN,1d,7.999,8.171,8.265,7.8,0.0,0,ZEN,8.949,7.8,8.3745,8.949,7.624,8.2865,,,,,,,,,,,,,,,,,,,,,
1689638400000,2023-07-18 23:59:59.999,ZEN,1d,8.172,8.035,8.255,7.818,0.0,0,ZEN,8.949,7.8,8.3745,8.949,7.624,8.2865,,,,,,,,,,,,,,,,,,,,,
1689724800000,2023-07-19 23:59:59.999,ZEN,1d,8.036,8.029,8.215,7.935,0.0,0,ZEN,8.604,7.8,8.202,8.949,7.624,8.2865,,,,,,,,,,,,,,,,,,,,,
