t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1706832000000,2024-02-02 23:59:59.999,ZETA,1d,1.6735,1.6716,1.9941,1.4572,2994597.1,7204,ZETA,,,,,,,,,,,,,,,,,,,,,,,,,,,
1706918400000,2024-02-03 23:59:59.999,ZETA,1d,1.6731,1.3982,1.6941,1.3551,2563446.7,5793,ZETA,,,,,,,,,,,,,,,,,,,,,,,,,,,
1707004800000,2024-02-04 23:59:59.999,ZETA,1d,1.3987,1.3796,1.441,1.3185,1693319.8,3619,ZETA,,,,,,,,,,,,,,,,,,,,,,,,,,,
1707091200000,2024-02-05 23:59:59.999,ZETA,1d,1.3795,1.3127,1.5374,1.2723,1967488.5,5034,ZETA,,,,,,,,,,,,,,,,,,,,,,,,,,,
1707177600000,2024-02-06 23:59:59.999,ZETA,1d,1.3139,1.22,1.3174,1.1929,2505593.3,5188,ZETA,1.9941,1.1929,1.5935000000000001,,,,,,,,,,,,,,,,,,,,,,,,
1707264000000,2024-02-07 23:59:59.999,ZETA,1d,1.2169,1.2823,1.2897,1.1317,1327099.2,3335,ZETA,1.6941,1.1317,1.4129,,,,,,,,,,,,,,,,,,,,,,,,
1707350400000,2024-02-08 23:59:59.999,ZETA,1d,1.2823,1.2133,1.3269,1.1929,961309.4,3006,ZETA,1.5374,1.1317,1.3345500000000001,,,,,,,,,,,,,,,,,,,,,,,,
1707436800000,2024-02-09 23:59:59.999,ZETA,1d,1.2125,1.4701,1.5072,1.2047,2761699.1,5691,ZETA,1.5374,1.1317,1.3345500000000001,,,,,,,,,,,,,,,,,,,,,,,,
1707523200000,2024-02-10 23:59:59.999,ZETA,1d,1.4707,1.4793,1.5673,1.3594,3676712.6,6750,ZETA,1.5673,1.1317,1.3495,,,,,,,,,,,,,,,,,,,,,,,,
1707609600000,2024-02-11 23:59:59.999,ZETA,1d,1.4856,1.702,1.7895,1.46,3598021.8,7245,ZETA,1.7895,1.1317,1.4606,1.9941,1.1317,1.5629,,,,,,,,,,,,,,,,,,,,,
1707696000000,2024-02-12 23:59:59.999,ZETA,1d,1.6897,2.0749,2.4333,1.615,8612946.099999998,15632,ZETA,2.4333,1.1929,1.8131,2.4333,1.1317,1.7825,,,,,,,,,,,,,,,,,,,,,
1707782400000,2024-02-13 23:59:59.999,ZETA,1d,2.0707,2.3366,2.5588,2.0217,4171524.1,10255,ZETA,2.5588,1.2047,1.8817500000000003,2.5588,1.1317,1.84525,,,,,,,,,,,,,,,,,,,,,
1707868800000,2024-02-14 23:59:59.999,ZETA,1d,2.337,2.4178,2.6005,2.1892,1709626.2,6519,ZETA,2.6005,1.3594,1.9799499999999999,2.6005,1.1317,1.8660999999999999,,,,,,,,,,,,,,,,,,,,,
1707955200000,2024-02-15 23:59:59.999,ZETA,1d,2.4125,2.7193,2.8803,2.2653,2454884.8,9185,ZETA,2.8803,1.46,2.17015,2.8803,1.1317,2.0060000000000002,,,,,,,,,,,,,,,,,,,,,
1708041600000,2024-02-16 23:59:59.999,ZETA,1d,2.7138,2.4751,2.8508,2.3972,1993655.4,6609,ZETA,2.8803,1.615,2.24765,2.8803,1.1317,2.0060000000000002,,,,,,,,,,,,,,,,,,,,,
1708128000000,2024-02-17 23:59:59.999,ZETA,1d,2.4761,2.3787,2.484,2.2401,1697798.1,5558,ZETA,2.8803,2.0217,2.451,2.8803,1.1929,2.0366,,,,,,,,,,,,,,,,,,,,,
1708214400000,2024-02-18 23:59:59.999,ZETA,1d,2.3741,2.6625,2.7938,2.2978,1460066.2,4713,ZETA,2.8803,2.1892,2.53475,2.8803,1.2047,2.0425,,,,,,,,,,,,,,,,,,,,,
1708300800000,2024-02-19 23:59:59.999,ZETA,1d,2.6604,2.4747,2.6754,2.3636,1018254.9,4743,ZETA,2.8803,2.2401,2.5602,2.8803,1.3594,2.11985,,,,,,,,,,,,,,,,,,,,,
1708387200000,2024-02-20 23:59:59.999,ZETA,1d,2.4673,2.3422,2.4896,2.1788,788714.6,5261,ZETA,2.8508,2.1788,2.5148,2.8803,1.46,2.17015,,,,,,,,,,,,,,,,,,,,,
1708473600000,2024-02-21 23:59:59.999,ZETA,1d,2.3409,2.2471,2.3928,2.0268,1004757.5,4290,ZETA,2.7938,2.0268,2.4103000000000003,2.8803,1.615,2.24765,2.8803,1.1317,2.0060000000000002,,,,,,,,,,,,,,,,,,
1708560000000,2024-02-22 23:59:59.999,ZETA,1d,2.2421,2.5084,2.623,2.1447,1608286.6,6949,ZETA,2.7938,2.0268,2.4103000000000003,2.8803,2.0217,2.451,2.8803,1.1317,2.0060000000000002,,,,,,,,,,,,,,,,,,
1708646400000,2024-02-23 23:59:59.999,ZETA,1d,2.5084,2.1994,2.6305,2.1393,1573485.5,6872,ZETA,2.6754,2.0268,2.3510999999999997,2.8803,2.0268,2.45355,2.8803,1.1317,2.0060000000000002,,,,,,,,,,,,,,,,,,
1708732800000,2024-02-24 23:59:59.999,ZETA,1d,2.2029,2.3306,2.3952,2.1153,945000.8,4766,ZETA,2.6305,2.0268,2.32865,2.8803,2.0268,2.45355,2.8803,1.1317,2.0060000000000002,,,,,,,,,,,,,,,,,,
1708819200000,2024-02-25 23:59:59.999,ZETA,1d,2.3317,2.4487,2.5358,2.216,1267624.5,5510,ZETA,2.6305,2.0268,2.32865,2.8508,2.0268,2.4388,2.8803,1.1317,2.0060000000000002,,,,,,,,,,,,,,,,,,
1708905600000,2024-02-26 23:59:59.999,ZETA,1d,2.4481,2.5609,2.7707,2.2575,1599183.2,6127,ZETA,2.7707,2.1153,2.443,2.7938,2.0268,2.4103000000000003,2.8803,1.1317,2.0060000000000002,,,,,,,,,,,,,,,,,,
1708992000000,2024-02-27 23:59:59.999,ZETA,1d,2.5635,2.5587,2.8014,2.4877,1340475.3,6859,ZETA,2.8014,2.1153,2.4583500000000003,2.8014,2.0268,2.4141000000000004,2.8803,1.1929,2.0366,,,,,,,,,,,,,,,,,,
1709078400000,2024-02-28 23:59:59.999,ZETA,1d,2.5543,2.3823,2.7538,1.89,2471126.4,11464,ZETA,2.8014,1.89,2.3457,2.8014,1.89,2.3457,2.8803,1.2047,2.0425,,,,,,,,,,,,,,,,,,
1709164800000,2024-02-29 23:59:59.999,ZETA,1d,2.3844,2.2448,2.4943,2.1558,766980.3,3579,ZETA,2.8014,1.89,2.3457,2.8014,1.89,2.3457,2.8803,1.3594,2.11985,,,,,,,,,,,,,,,,,,
1709251200000,2024-03-01 23:59:59.999,ZETA,1d,2.2513,2.3067,2.4155,2.154,1235217.1,4590,ZETA,2.8014,1.89,2.3457,2.8014,1.89,2.3457,2.8803,1.46,2.17015,,,,,,,,,,,,,,,,,,
1709337600000,2024-03-02 23:59:59.999,ZETA,1d,2.3094,2.3662,2.3727,2.239,543632.6,3960,ZETA,2.8014,1.89,2.3457,2.8014,1.89,2.3457,2.8803,1.615,2.24765,2.8803,1.1317,2.0060000000000002,,,,,,,,,,,,,,,
1709424000000,2024-03-03 23:59:59.999,ZETA,1d,2.3673,2.2829,2.4788,2.1111,720877.9,3845,ZETA,2.7538,1.89,2.3219,2.8014,1.89,2.3457,2.8803,1.89,2.38515,2.8803,1.1317,2.0060000000000002,,,,,,,,,,,,,,,
1709510400000,2024-03-04 23:59:59.999,ZETA,1d,2.297,2.1299,2.323,2.068,2755876.4,6425,ZETA,2.4943,2.068,2.2811500000000002,2.8014,1.89,2.3457,2.8803,1.89,2.38515,2.8803,1.1317,2.0060000000000002,,,,,,,,,,,,,,,
1709596800000,2024-03-05 23:59:59.999,ZETA,1d,2.1339,1.9215,2.3295,1.6455,896469.1,4495,ZETA,2.4788,1.6455,2.06215,2.8014,1.6455,2.22345,2.8803,1.6455,2.2629,2.8803,1.1317,2.0060000000000002,,,,,,,,,,,,,,,
1709683200000,2024-03-06 23:59:59.999,ZETA,1d,1.9231,2.2411,2.2622,1.8877,569329.5,3792,ZETA,2.4788,1.6455,2.06215,2.8014,1.6455,2.22345,2.8508,1.6455,2.24815,2.8803,1.1317,2.0060000000000002,,,,,,,,,,,,,,,
1709769600000,2024-03-07 23:59:59.999,ZETA,1d,2.2342,2.4053,2.4836,2.1888,553342.6,3256,ZETA,2.4836,1.6455,2.06455,2.8014,1.6455,2.22345,2.8014,1.6455,2.22345,2.8803,1.1317,2.0060000000000002,,,,,,,,,,,,,,,
1709856000000,2024-03-08 23:59:59.999,ZETA,1d,2.4117,2.3315,2.4875,2.1447,402088.1,2850,ZETA,2.4875,1.6455,2.0665,2.7538,1.6455,2.19965,2.8014,1.6455,2.22345,2.8803,1.1929,2.0366,,,,,,,,,,,,,,,
1709942400000,2024-03-09 23:59:59.999,ZETA,1d,2.3264,2.3794,2.5232,2.3001,304349.6,2868,ZETA,2.5232,1.6455,2.08435,2.5232,1.6455,2.08435,2.8014,1.6455,2.22345,2.8803,1.2047,2.0425,,,,,,,,,,,,,,,
1710028800000,2024-03-10 23:59:59.999,ZETA,1d,2.3822,2.4809,2.4809,2.2285,296689.8,3042,ZETA,2.5232,1.8877,2.20545,2.5232,1.6455,2.08435,2.8014,1.6455,2.22345,2.8803,1.3594,2.11985,,,,,,,,,,,,,,,
1710115200000,2024-03-11 23:59:59.999,ZETA,1d,2.4819,2.5417,2.5774,2.2786,403783.2,2758,ZETA,2.5774,2.1447,2.3610499999999996,2.5774,1.6455,2.11145,2.8014,1.6455,2.22345,2.8803,1.46,2.17015,,,,,,,,,,,,,,,
1710201600000,2024-03-12 23:59:59.999,ZETA,1d,2.5408,2.3902,2.599,2.2571,404940.3,2840,ZETA,2.599,2.1447,2.3718500000000002,2.599,1.6455,2.12225,2.8014,1.6455,2.22345,2.8803,1.615,2.24765,,,,,,,,,,,,,,,
1710288000000,2024-03-13 23:59:59.999,ZETA,1d,2.3898,2.3875,2.435,2.2857,163490.0,2357,ZETA,2.599,2.2285,2.4137500000000003,2.599,1.6455,2.12225,2.8014,1.6455,2.22345,2.8803,1.6455,2.2629,,,,,,,,,,,,,,,
1710374400000,2024-03-14 23:59:59.999,ZETA,1d,2.3857,2.2727,2.4301,2.1007,410294.7,3046,ZETA,2.599,2.1007,2.34985,2.599,1.6455,2.12225,2.8014,1.6455,2.22345,2.8803,1.6455,2.2629,,,,,,,,,,,,,,,
1710460800000,2024-03-15 23:59:59.999,ZETA,1d,2.2771,2.0943,2.3074,1.8677,859014.9,4302,ZETA,2.599,1.8677,2.23335,2.599,1.8677,2.23335,2.8014,1.6455,2.22345,2.8803,1.6455,2.2629,,,,,,,,,,,,,,,
1710547200000,2024-03-16 23:59:59.999,ZETA,1d,2.094,2.0329,2.3647,1.9738,967741.1,4394,ZETA,2.599,1.8677,2.23335,2.599,1.8677,2.23335,2.8014,1.6455,2.22345,2.8508,1.6455,2.24815,,,,,,,,,,,,,,,
1710633600000,2024-03-17 23:59:59.999,ZETA,1d,2.0323,2.1161,2.1419,1.9004,428230.8,2905,ZETA,2.435,1.8677,2.15135,2.599,1.8677,2.23335,2.8014,1.6455,2.22345,2.8014,1.6455,2.22345,,,,,,,,,,,,,,,
1710720000000,2024-03-18 23:59:59.999,ZETA,1d,2.11,1.8589,2.1611,1.8303,589792.4,3037,ZETA,2.4301,1.8303,2.1302,2.599,1.8303,2.2146500000000002,2.7538,1.6455,2.19965,2.8014,1.6455,2.22345,,,,,,,,,,,,,,,
1710806400000,2024-03-19 23:59:59.999,ZETA,1d,1.8595,1.9652,2.0786,1.6593,1062225.1,3677,ZETA,2.3647,1.6593,2.012,2.599,1.6593,2.12915,2.599,1.6455,2.12225,2.8014,1.6455,2.22345,,,,,,,,,,,,,,,
1710892800000,2024-03-20 23:59:59.999,ZETA,1d,1.9652,2.1122,2.1206,1.8039,648028.2,2706,ZETA,2.3647,1.6593,2.012,2.599,1.6593,2.12915,2.599,1.6455,2.12225,2.8014,1.6455,2.22345,,,,,,,,,,,,,,,
1710979200000,2024-03-21 23:59:59.999,ZETA,1d,2.1126,2.0908,2.1884,2.0325,953498.1,2983,ZETA,2.1884,1.6593,1.92385,2.599,1.6593,2.12915,2.599,1.6455,2.12225,2.8014,1.6455,2.22345,,,,,,,,,,,,,,,
1711065600000,2024-03-22 23:59:59.999,ZETA,1d,2.0896,2.0002,2.1224,1.9344,452173.9,2836,ZETA,2.1884,1.6593,1.92385,2.435,1.6593,2.0471500000000002,2.599,1.6455,2.12225,2.8014,1.6455,2.22345,,,,,,,,,,,,,,,
1711152000000,2024-03-23 23:59:59.999,ZETA,1d,1.9922,1.9885,2.0694,1.9567,2040866.1,4436,ZETA,2.1884,1.6593,1.92385,2.4301,1.6593,2.0446999999999997,2.599,1.6455,2.12225,2.8014,1.6455,2.22345,,,,,,,,,,,,,,,
1711238400000,2024-03-24 23:59:59.999,ZETA,1d,1.9828,2.0481,2.0693,1.9405,867526.2,3248,ZETA,2.1884,1.8039,1.99615,2.3647,1.6593,2.012,2.599,1.6455,2.12225,2.8014,1.6455,2.22345,,,,,,,,,,,,,,,
1711324800000,2024-03-25 23:59:59.999,ZETA,1d,2.0492,2.098,2.136,2.0219,1450237.9,4230,ZETA,2.1884,1.9344,2.0614,2.3647,1.6593,2.012,2.599,1.6593,2.12915,2.8014,1.6455,2.22345,,,,,,,,,,,,,,,
1711411200000,2024-03-26 23:59:59.999,ZETA,1d,2.1005,2.1516,2.2976,2.0965,638340.9,3853,ZETA,2.2976,1.9344,2.116,2.2976,1.6593,1.97845,2.599,1.6593,2.12915,2.8014,1.6455,2.22345,,,,,,,,,,,,,,,
1711497600000,2024-03-27 23:59:59.999,ZETA,1d,2.153,2.083,2.1859,2.0426,560198.2,3040,ZETA,2.2976,1.9405,2.11905,2.2976,1.6593,1.97845,2.599,1.6593,2.12915,2.8014,1.6455,2.22345,,,,,,,,,,,,,,,
1711584000000,2024-03-28 23:59:59.999,ZETA,1d,2.0819,2.0959,2.2057,2.0322,487149.0,2662,ZETA,2.2976,1.9405,2.11905,2.2976,1.6593,1.97845,2.599,1.6593,2.12915,2.7538,1.6455,2.19965,,,,,,,,,,,,,,,
1711670400000,2024-03-29 23:59:59.999,ZETA,1d,2.0963,2.1086,2.164,2.039,355135.1,2681,ZETA,2.2976,2.0219,2.15975,2.2976,1.8039,2.05075,2.599,1.6593,2.12915,2.599,1.6455,2.12225,,,,,,,,,,,,,,,
1711756800000,2024-03-30 23:59:59.999,ZETA,1d,2.11,2.094,2.2563,2.0737,295636.3,2540,ZETA,2.2976,2.0322,2.1649000000000003,2.2976,1.9344,2.116,2.599,1.6593,2.12915,2.599,1.6455,2.12225,,,,,,,,,,,,,,,
1711843200000,2024-03-31 23:59:59.999,ZETA,1d,2.0941,2.0944,2.1471,2.0651,598183.7,2790,ZETA,2.2563,2.0322,2.14425,2.2976,1.9344,2.116,2.599,1.6593,2.12915,2.599,1.6455,2.12225,,,,,,,,,,,,,,,
1711929600000,2024-04-01 23:59:59.999,ZETA,1d,2.0919,1.9821,2.1164,1.9337,429836.1,2697,ZETA,2.2563,1.9337,2.0949999999999998,2.2976,1.9337,2.11565,2.435,1.6593,2.0471500000000002,2.599,1.6455,2.12225,2.8803,1.1317,2.0060000000000002,,,,,,,,,,,,
