t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1694044800000,2023-09-07 23:59:59.999,ZRO,1d,2.2737,2.262,2.37,2.1362,19904.9,203,ZRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
1694131200000,2023-09-08 23:59:59.999,ZRO,1d,2.262,2.27,2.28,2.26,6550.3,168,ZRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
1694217600000,2023-09-09 23:59:59.999,ZRO,1d,2.27,2.3666,2.3666,2.27,5327.1,154,ZRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
1694304000000,2023-09-10 23:59:59.999,ZRO,1d,2.3383,2.46,3.077,2.3383,4678.3,86,ZRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
1694390400000,2023-09-11 23:59:59.999,ZRO,1d,2.4241,2.4547,2.4711,2.3851,4089.6,99,ZRO,3.077,2.1362,2.6066000000000003,,,,,,,,,,,,,,,,,,,,,,,,
1694476800000,2023-09-12 23:59:59.999,ZRO,1d,2.4547,2.4367,2.5167,2.42,1706.6,107,ZRO,3.077,2.26,2.6685,,,,,,,,,,,,,,,,,,,,,,,,
1694563200000,2023-09-13 23:59:59.999,ZRO,1d,2.4741,2.4774,2.5402,2.4562,4918.4,73,ZRO,3.077,2.27,2.6734999999999998,,,,,,,,,,,,,,,,,,,,,,,,
1694649600000,2023-09-14 23:59:59.999,ZRO,1d,2.4396,2.4627,2.492,2.3194,9321.8,74,ZRO,3.077,2.3194,2.6982,,,,,,,,,,,,,,,,,,,,,,,,
1694736000000,2023-09-15 23:59:59.999,ZRO,1d,2.4166,2.4177,2.4684,2.4008,260.0,28,ZRO,2.5402,2.3194,2.4298,,,,,,,,,,,,,,,,,,,,,,,,
1694822400000,2023-09-16 23:59:59.999,ZRO,1d,2.397,2.3733,2.4152,2.3652,248.7,11,ZRO,2.5402,2.3194,2.4298,3.077,2.1362,2.6066000000000003,,,,,,,,,,,,,,,,,,,,,
1694908800000,2023-09-17 23:59:59.999,ZRO,1d,2.3652,2.4108,2.4108,2.3652,29.3,3,ZRO,2.5402,2.3194,2.4298,3.077,2.26,2.6685,,,,,,,,,,,,,,,,,,,,,
1694995200000,2023-09-18 23:59:59.999,ZRO,1d,2.3652,2.375,2.4133,2.3652,80.1,3,ZRO,2.492,2.3194,2.4057,3.077,2.27,2.6734999999999998,,,,,,,,,,,,,,,,,,,,,
1695081600000,2023-09-19 23:59:59.999,ZRO,1d,2.4242,2.3891,2.4318,2.3833,122.9,11,ZRO,2.4684,2.3652,2.4168000000000003,3.077,2.3194,2.6982,,,,,,,,,,,,,,,,,,,,,
1695168000000,2023-09-20 23:59:59.999,ZRO,1d,2.4128,2.4475,2.4475,2.397,3108.4,65,ZRO,2.4475,2.3652,2.4063499999999998,2.5402,2.3194,2.4298,,,,,,,,,,,,,,,,,,,,,
1695254400000,2023-09-21 23:59:59.999,ZRO,1d,2.4426,2.404,2.4475,2.4025,1090.7,74,ZRO,2.4475,2.3652,2.4063499999999998,2.5402,2.3194,2.4298,,,,,,,,,,,,,,,,,,,,,
1695340800000,2023-09-22 23:59:59.999,ZRO,1d,2.4404,2.4475,2.4475,2.4404,85.4,4,ZRO,2.4475,2.3652,2.4063499999999998,2.5402,2.3194,2.4298,,,,,,,,,,,,,,,,,,,,,
1695427200000,2023-09-23 23:59:59.999,ZRO,1d,2.4475,2.2659,2.4475,2.2659,1324.5,16,ZRO,2.4475,2.2659,2.3567,2.492,2.2659,2.3789499999999997,,,,,,,,,,,,,,,,,,,,,
1695513600000,2023-09-24 23:59:59.999,ZRO,1d,2.2236,2.2273,2.2381,2.1978,120.1,4,ZRO,2.4475,2.1978,2.32265,2.4684,2.1978,2.3331,,,,,,,,,,,,,,,,,,,,,
1695600000000,2023-09-25 23:59:59.999,ZRO,1d,2.129,2.1,2.1701,2.1,155.1,15,ZRO,2.4475,2.1,2.2737499999999997,2.4475,2.1,2.2737499999999997,,,,,,,,,,,,,,,,,,,,,
1695686400000,2023-09-26 23:59:59.999,ZRO,1d,2.0192,2.0391,2.0485,2.0,693.8,65,ZRO,2.4475,2.0,2.22375,2.4475,2.0,2.22375,3.077,2.0,2.5385,,,,,,,,,,,,,,,,,,
1695772800000,2023-09-27 23:59:59.999,ZRO,1d,2.0,2.0378,2.0392,2.0,880.9,47,ZRO,2.4475,2.0,2.22375,2.4475,2.0,2.22375,3.077,2.0,2.5385,,,,,,,,,,,,,,,,,,
1695859200000,2023-09-28 23:59:59.999,ZRO,1d,2.0406,2.0056,2.0442,2.0056,49.4,3,ZRO,2.2381,2.0,2.11905,2.4475,2.0,2.22375,3.077,2.0,2.5385,,,,,,,,,,,,,,,,,,
1695945600000,2023-09-29 23:59:59.999,ZRO,1d,2.0056,1.9534,2.0253,1.9281,2378.2,48,ZRO,2.1701,1.9281,2.0491,2.4475,1.9281,2.1877999999999997,3.077,1.9281,2.50255,,,,,,,,,,,,,,,,,,
