t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1700352000000,2023-11-19 23:59:59.999,kBONK,1d,0.004331,0.004433,0.004525,0.004331,1987404.0,87,kBONK,,,,,,,,,,,,,,,,,,,,,,,,,,,
1700438400000,2023-11-20 23:59:59.999,kBONK,1d,0.004435,0.003925,0.005618,0.003639,389561952.0,2257,kBONK,,,,,,,,,,,,,,,,,,,,,,,,,,,
1700524800000,2023-11-21 23:59:59.999,kBONK,1d,0.003891,0.003575,0.004363,0.003253,903205186.0,2652,kBONK,,,,,,,,,,,,,,,,,,,,,,,,,,,
1700611200000,2023-11-22 23:59:59.999,kBONK,1d,0.003536,0.004529,0.005206,0.003501,312756281.0,2444,kBONK,,,,,,,,,,,,,,,,,,,,,,,,,,,
1700697600000,2023-11-23 23:59:59.999,kBONK,1d,0.004525,0.004247,0.004823,0.003926,224641091.0,2689,kBONK,0.005618,0.003253,0.0044355,,,,,,,,,,,,,,,,,,,,,,,,
1700784000000,2023-11-24 23:59:59.999,kBONK,1d,0.004272,0.004129,0.004304,0.003831,294429299.0,2803,kBONK,0.005618,0.003253,0.0044355,,,,,,,,,,,,,,,,,,,,,,,,
1700870400000,2023-11-25 23:59:59.999,kBONK,1d,0.004136,0.004349,0.004562,0.004081,498781396.0,3391,kBONK,0.005206,0.003253,0.0042295,,,,,,,,,,,,,,,,,,,,,,,,
1700956800000,2023-11-26 23:59:59.999,kBONK,1d,0.004351,0.004048,0.004467,0.003925,373137001.0,2717,kBONK,0.005206,0.003501,0.0043535,,,,,,,,,,,,,,,,,,,,,,,,
1701043200000,2023-11-27 23:59:59.999,kBONK,1d,0.004044,0.003792,0.004112,0.003506,334451954.0,2598,kBONK,0.004823,0.003506,0.0041645,,,,,,,,,,,,,,,,,,,,,,,,
1701129600000,2023-11-28 23:59:59.999,kBONK,1d,0.003795,0.004157,0.004288,0.003655,383599703.0,2821,kBONK,0.004562,0.003506,0.004034,0.005618,0.003253,0.0044355,,,,,,,,,,,,,,,,,,,,,
