t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1725321600000,2024-09-03 23:59:59.999,kDOGS,1d,1.1375,1.0192,1.1375,1.0137,779153.0,1447,kDOGS,,,,,,,,,,,,,,,,,,,,,,,,,,,
1725408000000,2024-09-04 23:59:59.999,kDOGS,1d,1.0259,1.0322,1.0588,0.97732,1426585.0,1791,kDOGS,,,,,,,,,,,,,,,,,,,,,,,,,,,
1725494400000,2024-09-05 23:59:59.999,kDOGS,1d,1.0316,1.065,1.1222,1.0021,1012173.0,1899,kDOGS,,,,,,,,,,,,,,,,,,,,,,,,,,,
1725580800000,2024-09-06 23:59:59.999,kDOGS,1d,1.0643,1.0293,1.1289,0.99637,1437144.0,2156,kDOGS,,,,,,,,,,,,,,,,,,,,,,,,,,,
1725667200000,2024-09-07 23:59:59.999,kDOGS,1d,1.0291,1.0071,1.0617,0.99319,417050.0,2141,kDOGS,1.1375,0.97732,1.05741,,,,,,,,,,,,,,,,,,,,,,,,
1725753600000,2024-09-08 23:59:59.999,kDOGS,1d,1.0061,0.97201,1.028,0.92413,450208.0,4654,kDOGS,1.1289,0.92413,1.026515,,,,,,,,,,,,,,,,,,,,,,,,
1725840000000,2024-09-09 23:59:59.999,kDOGS,1d,0.97212,1.1121,1.1178,0.96828,561735.0,3626,kDOGS,1.1289,0.92413,1.026515,,,,,,,,,,,,,,,,,,,,,,,,
1725926400000,2024-09-10 23:59:59.999,kDOGS,1d,1.111,1.0569,1.111,1.0427,554124.0,2346,kDOGS,1.1289,0.92413,1.026515,,,,,,,,,,,,,,,,,,,,,,,,
1726012800000,2024-09-11 23:59:59.999,kDOGS,1d,1.0566,1.047,1.0778,0.99994,514426.0,1857,kDOGS,1.1178,0.92413,1.020965,,,,,,,,,,,,,,,,,,,,,,,,
1726099200000,2024-09-12 23:59:59.999,kDOGS,1d,1.0501,1.0512,1.0734,1.01,529641.0,1776,kDOGS,1.1178,0.92413,1.020965,1.1375,0.92413,1.030815,,,,,,,,,,,,,,,,,,,,,
1726185600000,2024-09-13 23:59:59.999,kDOGS,1d,1.0525,1.1023,1.1307,1.0048,371068.0,2086,kDOGS,1.1307,0.96828,1.04949,1.1307,0.92413,1.027415,,,,,,,,,,,,,,,,,,,,,
