t,timestamp,s,i,open,close,high,low,volume,n,asset,donchian_high_5,donchian_low_5,donchian_mid_5,donchian_high_10,donchian_low_10,donchian_mid_10,donchian_high_20,donchian_low_20,donchian_mid_20,donchian_high_30,donchian_low_30,donchian_mid_30,donchian_high_60,donchian_low_60,donchian_mid_60,donchian_high_90,donchian_low_90,donchian_mid_90,donchian_high_150,donchian_low_150,donchian_mid_150,donchian_high_250,donchian_low_250,donchian_mid_250,donchian_high_360,donchian_low_360,donchian_mid_360
1688774400000,2023-07-08 23:59:59.999,kFLOKI,1d,0.02525,0.02498,0.02529,0.02456,0.0,0,kFLOKI,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688860800000,2023-07-09 23:59:59.999,kFLOKI,1d,0.02498,0.02456,0.02511,0.02444,0.0,0,kFLOKI,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688947200000,2023-07-10 23:59:59.999,kFLOKI,1d,0.02456,0.02514,0.02542,0.02366,0.0,0,kFLOKI,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689033600000,2023-07-11 23:59:59.999,kFLOKI,1d,0.02514,0.02484,0.02552,0.02459,0.0,0,kFLOKI,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689120000000,2023-07-12 23:59:59.999,kFLOKI,1d,0.02484,0.02474,0.02536,0.0243,0.0,0,kFLOKI,0.02552,0.02366,0.02459,,,,,,,,,,,,,,,,,,,,,,,,
1689206400000,2023-07-13 23:59:59.999,kFLOKI,1d,0.02475,0.02655,0.02665,0.0242,0.0,0,kFLOKI,0.02665,0.02366,0.025155,,,,,,,,,,,,,,,,,,,,,,,,
1689292800000,2023-07-14 23:59:59.999,kFLOKI,1d,0.02655,0.0258,0.02753,0.02477,0.0,0,kFLOKI,0.02753,0.02366,0.025595,,,,,,,,,,,,,,,,,,,,,,,,
1689379200000,2023-07-15 23:59:59.999,kFLOKI,1d,0.02578,0.02589,0.02683,0.02524,0.0,0,kFLOKI,0.02753,0.0242,0.025865,,,,,,,,,,,,,,,,,,,,,,,,
1689465600000,2023-07-16 23:59:59.999,kFLOKI,1d,0.02588,0.02463,0.02591,0.02452,0.0,0,kFLOKI,0.02753,0.0242,0.025865,,,,,,,,,,,,,,,,,,,,,,,,
1689552000000,2023-07-17 23:59:59.999,kFLOKI,1d,0.02462,0.02449,0.02501,0.02368,0.0,0,kFLOKI,0.02753,0.02368,0.025605,0.02753,0.02366,0.025595,,,,,,,,,,,,,,,,,,,,,
