t,timestamp,s,i,open,close,high,low,volume,n,asset
1688601600000,2023-07-06 23:59:59.999,kLUNC,1d,0.08245,0.08013,0.085,0.07954,0.0,0,kLUNC
1688688000000,2023-07-07 23:59:59.999,kLUNC,1d,0.08013,0.08145,0.082,0.07746,0.0,0,kLUNC
1688774400000,2023-07-08 23:59:59.999,kLUNC,1d,0.08145,0.08335,0.0855,0.08128,0.0,0,kLUNC
1688860800000,2023-07-09 23:59:59.999,kLUNC,1d,0.08335,0.08194,0.08368,0.07932,0.0,0,kLUNC
1688947200000,2023-07-10 23:59:59.999,kLUNC,1d,0.08195,0.08308,0.08495,0.07972,0.0,0,kLUNC
1689033600000,2023-07-11 23:59:59.999,kLUNC,1d,0.08308,0.08308,0.08422,0.08152,0.0,0,kLUNC
1689120000000,2023-07-12 23:59:59.999,kLUNC,1d,0.08308,0.08357,0.08409,0.08203,0.0,0,kLUNC
1689206400000,2023-07-13 23:59:59.999,kLUNC,1d,0.08356,0.08671,0.08754,0.08248,0.0,0,kLUNC
1689292800000,2023-07-14 23:59:59.999,kLUNC,1d,0.08672,0.08547,0.09012,0.08253,0.0,0,kLUNC
1689379200000,2023-07-15 23:59:59.999,kLUNC,1d,0.08546,0.09213,0.09465,0.08444,0.0,0,kLUNC
1689465600000,2023-07-16 23:59:59.999,kLUNC,1d,0.09214,0.09196,0.09445,0.08761,0.0,0,kLUNC
1689552000000,2023-07-17 23:59:59.999,kLUNC,1d,0.09195,0.09161,0.0969,0.08941,0.0,0,kLUNC
1689638400000,2023-07-18 23:59:59.999,kLUNC,1d,0.0916,0.08844,0.09248,0.0859,0.0,0,kLUNC
1689724800000,2023-07-19 23:59:59.999,kLUNC,1d,0.08844,0.08667,0.09056,0.0862,0.0,0,kLUNC
1689811200000,2023-07-20 23:59:59.999,kLUNC,1d,0.08668,0.08583,0.08818,0.08457,0.0,0,kLUNC
1689897600000,2023-07-21 23:59:59.999,kLUNC,1d,0.08583,0.08822,0.08987,0.08498,0.0,0,kLUNC
1689984000000,2023-07-22 23:59:59.999,kLUNC,1d,0.08822,0.08722,0.08984,0.08591,0.0,0,kLUNC
1690070400000,2023-07-23 23:59:59.999,kLUNC,1d,0.08723,0.0862,0.08806,0.08542,0.0,0,kLUNC
1690156800000,2023-07-24 23:59:59.999,kLUNC,1d,0.08619,0.08188,0.08637,0.07762,0.0,0,kLUNC
1690243200000,2023-07-25 23:59:59.999,kLUNC,1d,0.08187,0.0817,0.08361,0.08135,0.0,0,kLUNC
