t,timestamp,s,i,open,close,high,low,volume,n,asset
1688601600000,2023-07-06 23:59:59.999,kPEPE,1d,0.001653,0.001541,0.001779,0.00154,408561909.0,2714,kPEPE
1688688000000,2023-07-07 23:59:59.999,kPEPE,1d,0.001541,0.001564,0.001599,0.001511,183896673.0,2645,kPEPE
1688774400000,2023-07-08 23:59:59.999,kPEPE,1d,0.001562,0.001551,0.001592,0.001512,153668653.0,2495,kPEPE
1688860800000,2023-07-09 23:59:59.999,kPEPE,1d,0.001553,0.001543,0.001578,0.00153,155457811.0,2647,kPEPE
1688947200000,2023-07-10 23:59:59.999,kPEPE,1d,0.001543,0.001513,0.001585,0.001434,353150319.0,2694,kPEPE
1689033600000,2023-07-11 23:59:59.999,kPEPE,1d,0.001516,0.001501,0.001532,0.001484,211713442.0,2552,kPEPE
1689120000000,2023-07-12 23:59:59.999,kPEPE,1d,0.0015,0.001508,0.001555,0.00149,244723904.0,2412,kPEPE
1689206400000,2023-07-13 23:59:59.999,kPEPE,1d,0.001507,0.001711,0.001768,0.001461,305098293.0,2170,kPEPE
1689292800000,2023-07-14 23:59:59.999,kPEPE,1d,0.001717,0.001642,0.001876,0.001555,685320221.0,2813,kPEPE
1689379200000,2023-07-15 23:59:59.999,kPEPE,1d,0.001638,0.001643,0.001708,0.001613,198934760.0,2517,kPEPE
1689465600000,2023-07-16 23:59:59.999,kPEPE,1d,0.001644,0.001574,0.001666,0.00156,187873154.0,2521,kPEPE
1689552000000,2023-07-17 23:59:59.999,kPEPE,1d,0.00157,0.001575,0.001604,0.001509,275646826.0,2708,kPEPE
1689638400000,2023-07-18 23:59:59.999,kPEPE,1d,0.001575,0.001514,0.001597,0.001482,319562644.0,2649,kPEPE
1689724800000,2023-07-19 23:59:59.999,kPEPE,1d,0.001515,0.001525,0.001574,0.001506,278562040.0,2671,kPEPE
1689811200000,2023-07-20 23:59:59.999,kPEPE,1d,0.001524,0.001501,0.001575,0.001464,271225429.0,2678,kPEPE
1689897600000,2023-07-21 23:59:59.999,kPEPE,1d,0.001502,0.001521,0.001547,0.001486,266128347.0,2633,kPEPE
1689984000000,2023-07-22 23:59:59.999,kPEPE,1d,0.001521,0.001491,0.001547,0.001473,230391014.0,2557,kPEPE
1690070400000,2023-07-23 23:59:59.999,kPEPE,1d,0.001488,0.001503,0.001536,0.001468,244743513.0,2548,kPEPE
1690156800000,2023-07-24 23:59:59.999,kPEPE,1d,0.001506,0.001346,0.00151,0.001293,309925535.0,2622,kPEPE
1690243200000,2023-07-25 23:59:59.999,kPEPE,1d,0.001346,0.001307,0.001355,0.001291,397397922.0,2752,kPEPE
1690329600000,2023-07-26 23:59:59.999,kPEPE,1d,0.001305,0.001334,0.001385,0.001226,725534198.0,2986,kPEPE
1690416000000,2023-07-27 23:59:59.999,kPEPE,1d,0.001331,0.001344,0.001444,0.001311,644847500.0,2719,kPEPE
1690502400000,2023-07-28 23:59:59.999,kPEPE,1d,0.001339,0.001337,0.001374,0.001303,434658019.0,2620,kPEPE
1690588800000,2023-07-29 23:59:59.999,kPEPE,1d,0.001336,0.001349,0.001354,0.001323,243895253.0,2561,kPEPE
1690675200000,2023-07-30 23:59:59.999,kPEPE,1d,0.001347,0.001295,0.00135,0.001251,425283169.0,2664,kPEPE
1690761600000,2023-07-31 23:59:59.999,kPEPE,1d,0.001295,0.001237,0.00132,0.001206,438696789.0,2694,kPEPE
1690848000000,2023-08-01 23:59:59.999,kPEPE,1d,0.001238,0.0013,0.001307,0.001172,583979502.0,2803,kPEPE
1690934400000,2023-08-02 23:59:59.999,kPEPE,1d,0.0013,0.001219,0.001319,0.001204,1024100576.0,2745,kPEPE
1691020800000,2023-08-03 23:59:59.999,kPEPE,1d,0.001218,0.001198,0.001233,0.001192,677270429.0,2589,kPEPE
1691107200000,2023-08-04 23:59:59.999,kPEPE,1d,0.001197,0.001156,0.001225,0.001141,465079820.0,2545,kPEPE
1691193600000,2023-08-05 23:59:59.999,kPEPE,1d,0.001153,0.001153,0.001174,0.001125,407957309.0,2681,kPEPE
