t,timestamp,s,i,open,close,high,low,volume,n,asset
1688601600000,2023-07-06 23:59:59.999,kSHIB,1d,0.007463,0.007136,0.007673,0.007119,0.0,0,kSHIB
1688688000000,2023-07-07 23:59:59.999,kSHIB,1d,0.007136,0.00731,0.007316,0.007041,0.0,0,kSHIB
1688774400000,2023-07-08 23:59:59.999,kSHIB,1d,0.007311,0.007637,0.007734,0.007262,0.0,0,kSHIB
1688860800000,2023-07-09 23:59:59.999,kSHIB,1d,0.007638,0.007736,0.007799,0.007566,0.0,0,kSHIB
1688947200000,2023-07-10 23:59:59.999,kSHIB,1d,0.007735,0.007537,0.007741,0.007397,0.0,0,kSHIB
1689033600000,2023-07-11 23:59:59.999,kSHIB,1d,0.007536,0.007519,0.007625,0.007419,0.0,0,kSHIB
1689120000000,2023-07-12 23:59:59.999,kSHIB,1d,0.00752,0.007502,0.007601,0.007319,0.0,0,kSHIB
1689206400000,2023-07-13 23:59:59.999,kSHIB,1d,0.007501,0.007987,0.008142,0.007428,0.0,0,kSHIB
1689292800000,2023-07-14 23:59:59.999,kSHIB,1d,0.007988,0.007985,0.00845,0.007551,0.0,0,kSHIB
1689379200000,2023-07-15 23:59:59.999,kSHIB,1d,0.007984,0.00809,0.008539,0.007901,0.0,0,kSHIB
1689465600000,2023-07-16 23:59:59.999,kSHIB,1d,0.008091,0.007851,0.008165,0.007797,0.0,0,kSHIB
1689552000000,2023-07-17 23:59:59.999,kSHIB,1d,0.007852,0.007843,0.008073,0.007585,0.0,0,kSHIB
1689638400000,2023-07-18 23:59:59.999,kSHIB,1d,0.007842,0.007715,0.0079,0.007525,0.0,0,kSHIB
1689724800000,2023-07-19 23:59:59.999,kSHIB,1d,0.007715,0.00774,0.007844,0.007637,0.0,0,kSHIB
1689811200000,2023-07-20 23:59:59.999,kSHIB,1d,0.00774,0.007695,0.007927,0.007596,0.0,0,kSHIB
1689897600000,2023-07-21 23:59:59.999,kSHIB,1d,0.007694,0.007835,0.008022,0.007642,0.0,0,kSHIB
1689984000000,2023-07-22 23:59:59.999,kSHIB,1d,0.007836,0.00777,0.007908,0.007658,0.0,0,kSHIB
1690070400000,2023-07-23 23:59:59.999,kSHIB,1d,0.00777,0.007851,0.007915,0.007714,0.0,0,kSHIB
